id,name,type,url,access_mode,owner,scope,key_fields,verified,notes
D001,Eventbrite API,REST API,https://www.eventbrite.com/platform/api,API key required,Eventbrite Inc.,Public events listed on Eventbrite Richmond area,event_id;title;date;time;venue;description;category;url;organizer,No,Rate limits and current API availability need confirmation
D002,Richmond GeoHub,ArcGIS REST API,https://rvagis.richmond.gov,Public,City of Richmond,City geographic datasets including neighborhoods and possible arts districts,geometry;name;description;layer_type,No,Arts and Cultural Districts layer existence unconfirmed
D003,Style Weekly events,Website/RSS,https://www.styleweekly.com,Public website,Style Weekly Media,Richmond arts and entertainment event listings,title;date;venue;description;category,No,RSS feed status and structured data availability unconfirmed
D004,RVA Magazine,Website,https://rvamag.com,Public website,RVA Magazine,Richmond arts and culture coverage and events,title;date;venue;description,No,Structured event data availability unconfirmed
D005,dorichmond.com,Website/app,https://dorichmond.com,Public,Do Richmond,Existing Richmond events aggregator — prior art,event;date;venue;category;neighborhood,No,Existing platform — review before building competing tool
D006,Richmond.com events,Website,https://richmond.com,Public website,Richmond.com,Local news and events,title;date;venue;description,No,Events section structure unconfirmed
D007,The Valentine oral history,Museum/archive,https://thevalentine.org,Physical + partial digital,The Valentine,Richmond history including oral history collections,story;subject;date;medium;access_level,No,Digital scope and public accessibility unknown
D008,Black History Museum collections,Museum/archive,https://blackhistorymuseum.org,Physical + partial digital,Black History Museum and Cultural Center of Virginia,African American history of Virginia with Richmond focus,story;subject;date;medium;access_level,No,Digital scope and public accessibility unknown
D009,VCU Libraries digital collections,Academic library,https://library.vcu.edu,Partial public access,Virginia Commonwealth University,Special collections including Richmond neighborhood documentation,collection;item;subject;date;format,No,Public access scope for oral history and neighborhood materials unconfirmed
D010,StoryCorps Archive,National oral history archive,https://archive.storycorps.org,Public search,StoryCorps,National oral history recordings — may include Richmond,story_id;title;speakers;date;transcript;audio_url,No,Richmond coverage and searchability by location unconfirmed
D011,Virginia Museum of History and Culture,Museum/archive,https://virginiahistory.org,Physical + partial digital,Virginia Historical Society,Statewide Virginia history with some Richmond oral histories,collection;item;subject;date,No,Richmond oral history scope unknown
D012,VMFA events calendar,Website/iCal,https://vmfa.museum,Public,Virginia Museum of Fine Arts,Events and exhibitions at VMFA,title;date;time;type;description,No,iCal or RSS feed availability unconfirmed
D013,Richmond Open Data Catalog,Open data portal,https://richmond-data-discovery.opendata.arcgis.com,Public,City of Richmond,City datasets — arts/cultural event data currently absent,varies,No,Gap confirmed in rubric — no arts event data in catalog
D014,ICA at VCU events,Website,https://icavcu.org,Public,Institute for Contemporary Art VCU,Contemporary arts exhibitions and events,title;date;type;description,No,Calendar format and RSS availability unconfirmed
D015,Facebook Events (Graph API),REST API (restricted),https://developers.facebook.com/docs/graph-api,Heavily restricted — requires app review,Meta,Social events including many Richmond arts organizations,event_id;name;start_time;venue;description,No,Severely restricted post-2018. Do not plan MVP around this.
